Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-12-05 03:01:12.586 +0530,"Success",0:00:08,0,0,0,"20171205_030112.586/LogFile.txt","","",1
2017-12-05 03:01:39.745 +0530,"Running",0:00:00,0,0,0,"20171205_030139.745/LogFile.txt","","",0
2017-12-05 03:05:35.605 +0530,"Success",0:00:08,0,0,0,"20171205_030535.605/LogFile.txt","","",1
2017-12-05 03:07:28.574 +0530,"Success",0:00:08,0,0,0,"20171205_030728.574/LogFile.txt","","",1
2017-12-05 03:09:52.025 +0530,"Success",0:00:09,0,0,0,"20171205_030952.025/LogFile.txt","","",1
2017-12-05 03:12:01.917 +0530,"Success",0:00:10,0,0,0,"20171205_031201.917/LogFile.txt","","",1
2017-12-05 03:22:37.797 +0530,"Failure",0:00:00,1,0,0,"20171205_032237.797/LogFile.txt","","SenseTalk Compiler Exception -- in note_creation:\nSyntax Error at line 28: Syntax Error - can't understand ""ChiefComplaint__Icon"" at or near character 515",0
2017-12-06 09:08:24.060 -0600,"Failure",0:00:00,1,0,0,"20171206_090824.060/LogFile.txt","","SenseTalk Compiler Exception -- in note_creation:\nSyntax Error at line 29: Syntax Error - can't understand ""ChiefComplaint__Icon"" at or near character 533",0
2017-12-06 09:08:37.290 -0600,"Failure",0:00:00,1,0,0,"20171206_090837.290/LogFile.txt","","SenseTalk Compiler Exception -- in note_creation:\nSyntax Error at line 29: Syntax Error - can't understand ""ChiefComplaint__Icon"" at or near character 533",0
2017-12-06 09:40:07.988 -0600,"Failure",0:00:21,1,0,1,"20171206_094007.988/LogFile.txt","","Error Running Script Command -- waitfor Error - Too Few Parameters, please use waitfor time, image1[, imageX]",0
2017-12-06 09:51:56.656 -0600,"Failure",0:00:24,1,0,1,"20171206_095156.656/LogFile.txt","","Error Running Script Command -- waitfor Error - Too Few Parameters, please use waitfor time, image1[, imageX]",0
2017-12-06 09:52:52.262 -0600,"Failure",0:00:30,1,0,1,"20171206_095252.262/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""Ok button_New Note"" within 8.00 seconds",0
2017-12-06 09:53:27.846 -0600,"Failure",0:00:23,1,0,1,"20171206_095327.846/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""Ok button_New Note"" within 8.00 seconds",0
2017-12-06 09:54:47.793 -0600,"Failure",0:00:21,1,0,1,"20171206_095447.793/LogFile.txt","","Error Running Script Command -- waitfor Error - Too Few Parameters, please use waitfor time, image1[, imageX]",0
2017-12-06 09:55:50.730 -0600,"Failure",0:00:23,1,0,1,"20171206_095550.730/LogFile.txt","","Error Running Script Command -- waitfor Error - Too Few Parameters, please use waitfor time, image1[, imageX]",0
2017-12-06 10:17:21.643 -0600,"Success",0:00:33,0,1,0,"20171206_101721.643/LogFile.txt","","",1
2017-12-06 10:19:31.342 -0600,"Running",0:00:00,0,0,0,"20171206_101931.342/LogFile.txt","","",0
2017-12-06 10:22:52.915 -0600,"Success",0:00:38,0,1,0,"20171206_102252.915/LogFile.txt","","",1
2017-12-06 10:25:15.341 -0600,"Success",0:00:40,0,1,0,"20171206_102515.341/LogFile.txt","","",1
2017-12-06 10:27:32.268 -0600,"Failure",0:01:21,1,0,1,"20171206_102732.268/LogFile.txt","","Image Not Found -- doubleclick Error - No Text Found On Screen: ""(TEXT:""DD4"")""  Restricted Search Rectangle ((232,295),(1265,821))\n",0
2017-12-06 10:29:35.998 -0600,"Success",0:00:39,0,1,0,"20171206_102935.998/LogFile.txt","","",1
2017-12-06 14:31:24.443 -0600,"Success",0:00:41,0,0,0,"20171206_143124.443/LogFile.txt","","",1
2017-12-06 14:49:30.418 -0600,"Running",0:00:00,0,0,0,"20171206_144930.418/LogFile.txt","","",0
2017-12-06 15:02:13.243 -0600,"Failure",0:00:34,1,2,1,"20171206_150213.243/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Delete Section""",0
2017-12-06 15:06:18.798 -0600,"Failure",0:00:35,1,2,1,"20171206_150618.798/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Delete Section""",0
2017-12-06 15:13:08.604 -0600,"Failure",0:00:04,1,0,1,"20171206_151308.604/LogFile.txt","","File Not Found -- imagefound Error - Could Not Open Image: Ok Buttons",0
2017-12-06 15:21:36.311 -0600,"Failure",0:00:27,1,1,1,"20171206_152136.311/LogFile.txt","","Image Not Found -- doubleclick Error - No Text Found On Screen: ""(TEXT:"".med *"")""  Restricted Search Rectangle ((248,289),(471,381))\n",0
2017-12-06 15:22:38.645 -0600,"Failure",0:00:29,1,1,1,"20171206_152238.645/LogFile.txt","","Image Not Found -- doubleclick Error - No Text Found On Screen: ""(TEXT:"".med *"")""  Restricted Search Rectangle ((248,289),(471,381))\n",0
2017-12-06 15:23:42.315 -0600,"Running",0:00:00,0,0,0,"20171206_152342.315/LogFile.txt","","",0
2017-12-06 15:25:59.310 -0600,"Failure",0:00:47,1,1,1,"20171206_152559.310/LogFile.txt","","Image Not Found -- doubleclick Error - No Text Found On Screen: ""(TEXT:"".med *"")""  Restricted Search Rectangle ((248,289),(471,381))\n",0
2017-12-06 15:27:26.469 -0600,"Running",0:00:00,0,0,0,"20171206_152726.469/LogFile.txt","","",0
2017-12-06 15:29:07.953 -0600,"Running",0:00:00,0,0,0,"20171206_152907.953/LogFile.txt","","",0
2017-12-06 15:30:59.500 -0600,"Failure",0:00:45,1,1,1,"20171206_153059.500/LogFile.txt","","Image Not Found -- doubleclick Error - No Text Found On Screen: ""(TEXT:"".med *"")""  Restricted Search Rectangle ((235,255),(588,593))\n",0
2017-12-06 15:32:04.372 -0600,"Running",0:00:00,0,0,0,"20171206_153204.372/LogFile.txt","","",0
2017-12-06 15:33:21.167 -0600,"Failure",0:00:49,1,1,1,"20171206_153321.167/LogFile.txt","","Image Not Found -- doubleclick Error - No Text Found On Screen: ""(TEXT:"".med *"")""  Restricted Search Rectangle ((235,255),(588,593))\n",0
2017-12-06 15:45:27.718 -0600,"Running",0:00:00,0,0,0,"20171206_154527.718/LogFile.txt","","",0
2017-12-06 15:47:51.323 -0600,"Running",0:00:00,0,0,0,"20171206_154751.323/LogFile.txt","","",0
2017-12-06 15:50:58.097 -0600,"Running",0:00:00,0,0,0,"20171206_155058.097/LogFile.txt","","",0
2017-12-06 15:51:24.152 -0600,"Running",0:00:00,0,0,0,"20171206_155124.152/LogFile.txt","","",0
2017-12-06 15:53:47.159 -0600,"Failure",0:01:21,1,0,1,"20171206_155347.159/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Delete Section""",0
2017-12-06 17:14:07.722 -0600,"Running",0:00:00,0,0,0,"20171206_171407.722/LogFile.txt","","",0
2017-12-06 17:14:54.112 -0600,"Running",0:00:00,0,0,0,"20171206_171454.112/LogFile.txt","","",0
2017-12-06 17:15:36.306 -0600,"Running",0:00:00,0,0,0,"20171206_171536.306/LogFile.txt","","",0
2017-12-06 17:18:14.410 -0600,"Failure",0:01:10,1,1,1,"20171206_171814.410/LogFile.txt","","Image Not Found -- doubleclick Error - No Text Found On Screen: ""(TEXT:""med"")""  Restricted Search Rectangle ((235,255),(588,593))\n",0
2017-12-06 17:22:13.735 -0600,"Running",0:00:00,0,0,0,"20171206_172213.735/LogFile.txt","","",0
2017-12-06 17:25:00.453 -0600,"Failure",0:00:31,1,0,1,"20171206_172500.453/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""Ok Buttons"" within 10.00 seconds",0
2017-12-06 17:26:17.357 -0600,"Running",0:00:00,0,0,0,"20171206_172617.357/LogFile.txt","","",0
2017-12-06 17:28:22.562 -0600,"Running",0:00:00,0,0,0,"20171206_172822.562/LogFile.txt","","",0
